Results	Entity	Line	Column	Check
Number of Results: 12823				
  Application				
    EWCM				
      LED.c				
        Identifier i reused	i	116	16	5.7 No identifier name should be reused
      switch.c				
        Identifier pin reused	pin	105	28	5.7 No identifier name should be reused
      windowlifter.h				
        Reserved Identifier, Macro, or Function defined, redefined or undefined in file windowlifter.h	_WINDOWLIFTER_H	27	0	20.1 Reserved identifiers, macros and functions in the standard library shall not be defined, redefined or undefined
        Name for a standard library macro or object is reused in file windowlifter.h	_WINDOWLIFTER_H	27	0	20.2 The names of standard library macros and objects shall not be reused
    Main Application				
      init.c				
        Identifier disableWatchdog reused	disableWatchdog	119	5	5.7 No identifier name should be reused
        Identifier pin reused	pin	165	16	5.7 No identifier name should be reused
        Violation: disableWatchdog is only used within init.c, so static keyword should be used.	disableWatchdog	119	5	8.10 prefer internal linkage over external whenever possible
        Violation: init_OnBoardLEDs is only used within init.c, so static keyword should be used.	init_OnBoardLEDs	133	5	8.10 prefer internal linkage over external whenever possible
        ""U"" or ""u"" suffix not applied to interger constant 0x0000C520		121	13	10.6 A U suffix shall be applied to all constants of unsigned type
        ""U"" or ""u"" suffix not applied to interger constant 0x0000D928		122	13	10.6 A U suffix shall be applied to all constants of unsigned type
        ""U"" or ""u"" suffix not applied to interger constant 0x8000010A		123	13	10.6 A U suffix shall be applied to all constants of unsigned type
        Violation: C99 style comment found: //PCR_GPIO_OutputConfiguration		64	31	2.2 only use /* comments
        Violation: C99 style comment found: //PCR_GPIO_InputConfiguration		65	31	2.2 only use /* comments
        Violation: C99 style comment found: //PCR_AnalogConfiguration		66	32	2.2 only use /* comments
      main.c				
        Identifier main reused	main	36	4	5.7 No identifier name should be reused
        Identifier main.c reused	main.c	2	0	5.7 No identifier name should be reused
        Null statement is not on a line by itself. Nothing is allowed before the null statement. There needs to be a space following the null statement. Only comments and whitespace are allowed after. 		61	14	14.3 A null statement shall only occur on a line by itself
        No exit point in function	main	36	4	14.7 A function shall have a single point of exit at the end of the function
        Violation: basic numerical type ""int"" used.	main	36	4	6.3 Typedefs that indicate size and signedness should be used in place of the basic numerical types.
      MPC5606B.h				
        Identifier A reused	A	4625	22	5.7 No identifier name should be reused
        Identifier ABD reused	ABD	2542	22	5.7 No identifier name should be reused
        Identifier ABORT reused	ABORT	63	26	5.7 No identifier name should be reused
        Identifier ABORT reused	ABORT	1398	22	5.7 No identifier name should be reused
        Identifier ABORTCHAIN reused	ABORTCHAIN	62	26	5.7 No identifier name should be reused
        Identifier ABORT_CHAIN reused	ABORT_CHAIN	1397	22	5.7 No identifier name should be reused
        Identifier ABRQ reused	ABRQ	2996	22	5.7 No identifier name should be reused
        Identifier ABRQ reused	ABRQ	3262	22	5.7 No identifier name should be reused
        Identifier ABRQ reused	ABRQ	3597	22	5.7 No identifier name should be reused
        Identifier AC0_SC reused	AC0_SC	4382	6	5.7 No identifier name should be reused
        Identifier ACKERR reused	ACKERR	5871	22	5.7 No identifier name should be reused
        Identifier ACKO reused	ACKO	64	26	5.7 No identifier name should be reused
        Identifier ACKO reused	ACKO	82	26	5.7 No identifier name should be reused
        Identifier ACKO reused	ACKO	1399	22	5.7 No identifier name should be reused
        Identifier ACKO reused	ACKO	1418	22	5.7 No identifier name should be reused
        Identifier ACTIVE reused	ACTIVE	5151	18	5.7 No identifier name should be reused
        Identifier ACTIVE reused	ACTIVE	5194	18	5.7 No identifier name should be reused
        Identifier ACTIVE_CK reused	ACTIVE_CK	2009	26	5.7 No identifier name should be reused
        Identifier ADC0_reserved0 reused	ADC0_reserved0	88	15	5.7 No identifier name should be reused
        Identifier ADC0_reserved1 reused	ADC0_reserved1	370	10	5.7 No identifier name should be reused
        Identifier ADC0_reserved10 reused	ADC0_reserved10	1005	13	5.7 No identifier name should be reused
        Identifier ADC0_reserved11 reused	ADC0_reserved11	1274	13	5.7 No identifier name should be reused
        Identifier ADC0_reserved2 reused	ADC0_reserved2	480	13	5.7 No identifier name should be reused
        Identifier ADC0_reserved3 reused	ADC0_reserved3	528	13	5.7 No identifier name should be reused
        Identifier ADC0_reserved4 reused	ADC0_reserved4	656	25	5.7 No identifier name should be reused
        Identifier ADC0_reserved5 reused	ADC0_reserved5	706	17	5.7 No identifier name should be reused
        Identifier ADC0_reserved6 reused	ADC0_reserved6	805	9	5.7 No identifier name should be reused
        Identifier ADC0_reserved7 reused	ADC0_reserved7	905	12	5.7 No identifier name should be reused
        Identifier ADC0_reserved8 reused	ADC0_reserved8	924	13	5.7 No identifier name should be reused
        Identifier ADC0_reserved9 reused	ADC0_reserved9	958	13	5.7 No identifier name should be reused
        Identifier ADC0_tag reused	ADC0_tag	44	11	5.7 No identifier name should be reused
        Identifier ADC1_reserved0 reused	ADC1_reserved0	1424	13	5.7 No identifier name should be reused
        Identifier ADC1_reserved1 reused	ADC1_reserved1	1476	13	5.7 No identifier name should be reused
        Identifier ADC1_reserved10 reused	ADC1_reserved10	1815	17	5.7 No identifier name should be reused
        Identifier ADC1_reserved11 reused	ADC1_reserved11	1829	13	5.7 No identifier name should be reused
        Identifier ADC1_reserved12 reused	ADC1_reserved12	1875	13	5.7 No identifier name should be reused
        Identifier ADC1_reserved13 reused	ADC1_reserved13	1915	13	5.7 No identifier name should be reused
        Identifier ADC1_reserved14 reused	ADC1_reserved14	1955	13	5.7 No identifier name should be reused
        Identifier ADC1_reserved15 reused	ADC1_reserved15	1995	13	5.7 No identifier name should be reused
        Identifier ADC1_reserved2 reused	ADC1_reserved2	1528	13	5.7 No identifier name should be reused
        Identifier ADC1_reserved3 reused	ADC1_reserved3	1556	13	5.7 No identifier name should be reused
        Identifier ADC1_reserved4 reused	ADC1_reserved4	1605	13	5.7 No identifier name should be reused
        Identifier ADC1_reserved5 reused	ADC1_reserved5	1640	13	5.7 No identifier name should be reused
        Identifier ADC1_reserved6 reused	ADC1_reserved6	1691	13	5.7 No identifier name should be reused
        Identifier ADC1_reserved7 reused	ADC1_reserved7	1725	13	5.7 No identifier name should be reused
        Identifier ADC1_reserved8 reused	ADC1_reserved8	1765	13	5.7 No identifier name should be reused
        Identifier ADC1_reserved9 reused	ADC1_reserved9	1805	12	5.7 No identifier name should be reused
        Identifier ADC1_tag reused	ADC1_tag	1379	7	5.7 No identifier name should be reused
        Identifier ADCLKSEL reused	ADCLKSEL	61	26	5.7 No identifier name should be reused
        Identifier ADCLKSEL reused	ADCLKSEL	1396	34	5.7 No identifier name should be reused
        Identifier ADCSTATUS reused	ADCSTATUS	84	26	5.7 No identifier name should be reused
        Identifier ADCSTATUS reused	ADCSTATUS	1420	22	5.7 No identifier name should be reused
        Identifier ADC_0 reused	ADC_0	6434	0	5.7 No identifier name should be reused
        Identifier ADC_1 reused	ADC_1	6435	0	5.7 No identifier name should be reused
        Identifier ADC_SEL reused	ADC_SEL	4606	22	5.7 No identifier name should be reused
        Identifier ADD reused	ADD	6159	26	5.7 No identifier name should be reused
        Identifier ADD reused	ADD	6288	26	5.7 No identifier name should be reused
        Identifier ADR reused	ADR	4894	21	5.7 No identifier name should be reused
        Identifier ADR reused	ADR	6162	10	5.7 No identifier name should be reused
        Identifier ADR reused	ADR	6291	10	5.7 No identifier name should be reused
        Identifier AEN reused	AEN	5788	34	5.7 No identifier name should be reused
        Identifier AID reused	AID	6178	26	5.7 No identifier name should be reused
        Identifier AID reused	AID	6401	26	5.7 No identifier name should be reused
        Identifier AIE reused	AIE	6177	26	5.7 No identifier name should be reused
        Identifier AIE reused	AIE	6400	26	5.7 No identifier name should be reused
        Identifier AIS reused	AIS	6176	26	5.7 No identifier name should be reused
        Identifier AIS reused	AIS	6399	26	5.7 No identifier name should be reused
        Identifier ALTA reused	ALTA	4685	22	5.7 No identifier name should be reused
        Identifier ALTCADR reused	ALTCADR	4687	6	5.7 No identifier name should be reused
        Identifier APC reused	APC	2434	26	5.7 No identifier name should be reused
        Identifier APIEN reused	APIEN	2203	22	5.7 No identifier name should be reused
        Identifier APIF reused	APIF	2218	22	5.7 No identifier name should be reused
        Identifier APIIE reused	APIIE	2204	22	5.7 No identifier name should be reused
        Identifier APIVAL reused	APIVAL	2208	22	5.7 No identifier name should be reused
        Identifier ARBM reused	ARBM	6359	26	5.7 No identifier name should be reused
        Identifier AR_CHKSTOP reused	AR_CHKSTOP	4464	34	5.7 No identifier name should be reused
        Identifier AR_CMU_FHL reused	AR_CMU_FHL	4461	34	5.7 No identifier name should be reused
        Identifier AR_CMU_OLR reused	AR_CMU_OLR	4462	34	5.7 No identifier name should be reused
        Identifier AR_CORE reused	AR_CORE	4466	34	5.7 No identifier name should be reused
        Identifier AR_EXR reused	AR_EXR	4457	34	5.7 No identifier name should be reused
        Identifier AR_FLASH reused	AR_FLASH	4459	34	5.7 No identifier name should be reused
        Identifier AR_FMPLL reused	AR_FMPLL	4463	34	5.7 No identifier name should be reused
        Identifier AR_JTAG reused	AR_JTAG	4467	34	5.7 No identifier name should be reused
        Identifier AR_LVD12_PD0 reused	AR_LVD12_PD0	4479	34	5.7 No identifier name should be reused
        Identifier AR_LVD12_PD1 reused	AR_LVD12_PD1	4478	34	5.7 No identifier name should be reused
        Identifier AR_LVD27 reused	AR_LVD27	4476	34	5.7 No identifier name should be reused
        Identifier AR_LVD27_VREG reused	AR_LVD27_VREG	4475	34	5.7 No identifier name should be reused
        Identifier AR_LVD45 reused	AR_LVD45	4460	34	5.7 No identifier name should be reused
        Identifier AR_SOFT reused	AR_SOFT	4465	34	5.7 No identifier name should be reused
        Identifier AR_SWT reused	AR_SWT	4477	34	5.7 No identifier name should be reused
        Identifier ASC reused	ASC	5588	22	5.7 No identifier name should be reused
        Identifier AWORR0 reused	AWORR0	1297	6	5.7 No identifier name should be reused
        Identifier AWORR0 reused	AWORR0	1978	6	5.7 No identifier name should be reused
        Identifier AWORR1 reused	AWORR1	1332	6	5.7 No identifier name should be reused
        Identifier AWORR1 reused	AWORR1	1993	6	5.7 No identifier name should be reused
        Identifier AWORR2 reused	AWORR2	1370	6	5.7 No identifier name should be reused
        Identifier AWORR_CH0 reused	AWORR_CH0	1295	22	5.7 No identifier name should be reused
        Identifier AWORR_CH0 reused	AWORR_CH0	1976	22	5.7 No identifier name should be reused
        Identifier AWORR_CH1 reused	AWORR_CH1	1294	22	5.7 No identifier name should be reused
        Identifier AWORR_CH1 reused	AWORR_CH1	1975	22	5.7 No identifier name should be reused
        Identifier AWORR_CH10 reused	AWORR_CH10	1285	22	5.7 No identifier name should be reused
        Identifier AWORR_CH10 reused	AWORR_CH10	1966	22	5.7 No identifier name should be reused
        Identifier AWORR_CH11 reused	AWORR_CH11	1284	22	5.7 No identifier name should be reused
        Identifier AWORR_CH11 reused	AWORR_CH11	1965	22	5.7 No identifier name should be reused
        Identifier AWORR_CH12 reused	AWORR_CH12	1283	22	5.7 No identifier name should be reused
        Identifier AWORR_CH12 reused	AWORR_CH12	1964	22	5.7 No identifier name should be reused
        Identifier AWORR_CH13 reused	AWORR_CH13	1282	22	5.7 No identifier name should be reused
        Identifier AWORR_CH13 reused	AWORR_CH13	1963	22	5.7 No identifier name should be reused
        Identifier AWORR_CH14 reused	AWORR_CH14	1281	22	5.7 No identifier name should be reused
        Identifier AWORR_CH14 reused	AWORR_CH14	1962	22	5.7 No identifier name should be reused
        Identifier AWORR_CH15 reused	AWORR_CH15	1280	22	5.7 No identifier name should be reused
        Identifier AWORR_CH15 reused	AWORR_CH15	1961	22	5.7 No identifier name should be reused
        Identifier AWORR_CH2 reused	AWORR_CH2	1293	22	5.7 No identifier name should be reused
        Identifier AWORR_CH2 reused	AWORR_CH2	1974	22	5.7 No identifier name should be reused
        Identifier AWORR_CH3 reused	AWORR_CH3	1292	22	5.7 No identifier name should be reused
        Identifier AWORR_CH3 reused	AWORR_CH3	1973	22	5.7 No identifier name should be reused
        Identifier AWORR_CH32 reused	AWORR_CH32	1330	22	5.7 No identifier name should be reused
        Identifier AWORR_CH32 reused	AWORR_CH32	1991	22	5.7 No identifier name should be reused
        Identifier AWORR_CH33 reused	AWORR_CH33	1329	22	5.7 No identifier name should be reused
        Identifier AWORR_CH33 reused	AWORR_CH33	1990	22	5.7 No identifier name should be reused
        Identifier AWORR_CH34 reused	AWORR_CH34	1328	22	5.7 No identifier name should be reused
        Identifier AWORR_CH34 reused	AWORR_CH34	1989	22	5.7 No identifier name should be reused
        Identifier AWORR_CH35 reused	AWORR_CH35	1327	22	5.7 No identifier name should be reused
        Identifier AWORR_CH35 reused	AWORR_CH35	1988	22	5.7 No identifier name should be reused
        Identifier AWORR_CH36 reused	AWORR_CH36	1326	22	5.7 No identifier name should be reused
        Identifier AWORR_CH36 reused	AWORR_CH36	1987	22	5.7 No identifier name should be reused
        Identifier AWORR_CH37 reused	AWORR_CH37	1325	22	5.7 No identifier name should be reused
        Identifier AWORR_CH37 reused	AWORR_CH37	1986	22	5.7 No identifier name should be reused
        Identifier AWORR_CH38 reused	AWORR_CH38	1324	22	5.7 No identifier name should be reused
        Identifier AWORR_CH38 reused	AWORR_CH38	1985	22	5.7 No identifier name should be reused
        Identifier AWORR_CH39 reused	AWORR_CH39	1323	22	5.7 No identifier name should be reused
        Identifier AWORR_CH39 reused	AWORR_CH39	1984	22	5.7 No identifier name should be reused
        Identifier AWORR_CH4 reused	AWORR_CH4	1291	22	5.7 No identifier name should be reused
        Identifier AWORR_CH4 reused	AWORR_CH4	1972	22	5.7 No identifier name should be reused
        Identifier AWORR_CH40 reused	AWORR_CH40	1322	22	5.7 No identifier name should be reused
        Identifier AWORR_CH41 reused	AWORR_CH41	1321	22	5.7 No identifier name should be reused
        Identifier AWORR_CH42 reused	AWORR_CH42	1320	22	5.7 No identifier name should be reused
        Identifier AWORR_CH43 reused	AWORR_CH43	1319	22	5.7 No identifier name should be reused
        Identifier AWORR_CH44 reused	AWORR_CH44	1318	22	5.7 No identifier name should be reused
        Identifier AWORR_CH45 reused	AWORR_CH45	1317	22	5.7 No identifier name should be reused
        Identifier AWORR_CH46 reused	AWORR_CH46	1316	22	5.7 No identifier name should be reused
        Identifier AWORR_CH47 reused	AWORR_CH47	1315	22	5.7 No identifier name should be reused
        Identifier AWORR_CH48 reused	AWORR_CH48	1314	22	5.7 No identifier name should be reused
        Identifier AWORR_CH49 reused	AWORR_CH49	1313	22	5.7 No identifier name should be reused
        Identifier AWORR_CH5 reused	AWORR_CH5	1290	22	5.7 No identifier name should be reused
        Identifier AWORR_CH5 reused	AWORR_CH5	1971	22	5.7 No identifier name should be reused
        Identifier AWORR_CH50 reused	AWORR_CH50	1312	22	5.7 No identifier name should be reused
        Identifier AWORR_CH51 reused	AWORR_CH51	1311	22	5.7 No identifier name should be reused
        Identifier AWORR_CH52 reused	AWORR_CH52	1310	22	5.7 No identifier name should be reused
        Identifier AWORR_CH53 reused	AWORR_CH53	1309	22	5.7 No identifier name should be reused
        Identifier AWORR_CH54 reused	AWORR_CH54	1308	22	5.7 No identifier name should be reused
        Identifier AWORR_CH55 reused	AWORR_CH55	1307	22	5.7 No identifier name should be reused
        Identifier AWORR_CH56 reused	AWORR_CH56	1306	22	5.7 No identifier name should be reused
        Identifier AWORR_CH57 reused	AWORR_CH57	1305	22	5.7 No identifier name should be reused
        Identifier AWORR_CH58 reused	AWORR_CH58	1304	22	5.7 No identifier name should be reused
        Identifier AWORR_CH59 reused	AWORR_CH59	1303	22	5.7 No identifier name should be reused
        Identifier AWORR_CH6 reused	AWORR_CH6	1289	22	5.7 No identifier name should be reused
        Identifier AWORR_CH6 reused	AWORR_CH6	1970	22	5.7 No identifier name should be reused
        Identifier AWORR_CH64 reused	AWORR_CH64	1368	22	5.7 No identifier name should be reused
        Identifier AWORR_CH65 reused	AWORR_CH65	1367	22	5.7 No identifier name should be reused
        Identifier AWORR_CH66 reused	AWORR_CH66	1366	22	5.7 No identifier name should be reused
        Identifier AWORR_CH67 reused	AWORR_CH67	1365	22	5.7 No identifier name should be reused
        Identifier AWORR_CH68 reused	AWORR_CH68	1364	22	5.7 No identifier name should be reused
        Identifier AWORR_CH69 reused	AWORR_CH69	1363	22	5.7 No identifier name should be reused
        Identifier AWORR_CH7 reused	AWORR_CH7	1288	22	5.7 No identifier name should be reused
        Identifier AWORR_CH7 reused	AWORR_CH7	1969	22	5.7 No identifier name should be reused
        Identifier AWORR_CH70 reused	AWORR_CH70	1362	22	5.7 No identifier name should be reused
        Identifier AWORR_CH71 reused	AWORR_CH71	1361	22	5.7 No identifier name should be reused
        Identifier AWORR_CH72 reused	AWORR_CH72	1360	22	5.7 No identifier name should be reused
        Identifier AWORR_CH73 reused	AWORR_CH73	1359	22	5.7 No identifier name should be reused
        Identifier AWORR_CH74 reused	AWORR_CH74	1358	22	5.7 No identifier name should be reused
        Identifier AWORR_CH75 reused	AWORR_CH75	1357	22	5.7 No identifier name should be reused
        Identifier AWORR_CH76 reused	AWORR_CH76	1356	22	5.7 No identifier name should be reused
        Identifier AWORR_CH77 reused	AWORR_CH77	1355	22	5.7 No identifier name should be reused
        Identifier AWORR_CH78 reused	AWORR_CH78	1354	22	5.7 No identifier name should be reused
        Identifier AWORR_CH79 reused	AWORR_CH79	1353	22	5.7 No identifier name should be reused
        Identifier AWORR_CH8 reused	AWORR_CH8	1287	22	5.7 No identifier name should be reused
        Identifier AWORR_CH8 reused	AWORR_CH8	1968	22	5.7 No identifier name should be reused
        Identifier AWORR_CH80 reused	AWORR_CH80	1352	22	5.7 No identifier name should be reused
        Identifier AWORR_CH81 reused	AWORR_CH81	1351	22	5.7 No identifier name should be reused
        Identifier AWORR_CH82 reused	AWORR_CH82	1350	22	5.7 No identifier name should be reused
        Identifier AWORR_CH83 reused	AWORR_CH83	1349	22	5.7 No identifier name should be reused
        Identifier AWORR_CH84 reused	AWORR_CH84	1348	22	5.7 No identifier name should be reused
        Identifier AWORR_CH85 reused	AWORR_CH85	1347	22	5.7 No identifier name should be reused
        Identifier AWORR_CH86 reused	AWORR_CH86	1346	22	5.7 No identifier name should be reused
        Identifier AWORR_CH87 reused	AWORR_CH87	1345	22	5.7 No identifier name should be reused
        Identifier AWORR_CH88 reused	AWORR_CH88	1344	22	5.7 No identifier name should be reused
        Identifier AWORR_CH89 reused	AWORR_CH89	1343	22	5.7 No identifier name should be reused
        Identifier AWORR_CH9 reused	AWORR_CH9	1286	22	5.7 No identifier name should be reused
        Identifier AWORR_CH9 reused	AWORR_CH9	1967	22	5.7 No identifier name should be reused
        Identifier AWORR_CH90 reused	AWORR_CH90	1342	22	5.7 No identifier name should be reused
        Identifier AWORR_CH91 reused	AWORR_CH91	1341	22	5.7 No identifier name should be reused
        Identifier AWORR_CH92 reused	AWORR_CH92	1340	22	5.7 No identifier name should be reused
        Identifier AWORR_CH93 reused	AWORR_CH93	1339	22	5.7 No identifier name should be reused
        Identifier AWORR_CH94 reused	AWORR_CH94	1338	22	5.7 No identifier name should be reused
        Identifier AWORR_CH95 reused	AWORR_CH95	1337	22	5.7 No identifier name should be reused
        Identifier AWUM reused	AWUM	2822	22	5.7 No identifier name should be reused
        Identifier AWUM reused	AWUM	3087	22	5.7 No identifier name should be reused
        Identifier AWUM reused	AWUM	3423	22	5.7 No identifier name should be reused
        Identifier B reused	B	67	14	5.7 No identifier name should be reused
        Identifier B reused	B	85	14	5.7 No identifier name should be reused
        Identifier B reused	B	99	14	5.7 No identifier name should be reused
        Identifier B reused	B	138	14	5.7 No identifier name should be reused
        Identifier B reused	B	177	14	5.7 No identifier name should be reused
        Identifier B reused	B	215	26	5.7 No identifier name should be reused
        Identifier B reused	B	228	14	5.7 No identifier name should be reused
        Identifier B reused	B	253	10	5.7 No identifier name should be reused
        Identifier B reused	B	291	10	5.7 No identifier name should be reused
        Identifier B reused	B	329	10	5.7 No identifier name should be reused
        Identifier B reused	B	348	14	5.7 No identifier name should be reused
        Identifier B reused	B	367	14	5.7 No identifier name should be reused
        Identifier B reused	B	378	14	5.7 No identifier name should be reused
        Identifier B reused	B	401	14	5.7 No identifier name should be reused
        Identifier B reused	B	439	10	5.7 No identifier name should be reused
        Identifier B reused	B	477	10	5.7 No identifier name should be reused
        Identifier B reused	B	494	10	5.7 No identifier name should be reused
        Identifier B reused	B	504	10	5.7 No identifier name should be reused
        Identifier B reused	B	514	10	5.7 No identifier name should be reused
        Identifier B reused	B	524	10	5.7 No identifier name should be reused
        Identifier B reused	B	538	14	5.7 No identifier name should be reused
        Identifier B reused	B	577	14	5.7 No identifier name should be reused
        Identifier B reused	B	615	10	5.7 No identifier name should be reused
        Identifier B reused	B	653	10	5.7 No identifier name should be reused
        Identifier B reused	B	675	10	5.7 No identifier name should be reused
        Identifier B reused	B	689	10	5.7 No identifier name should be reused
        Identifier B reused	B	703	10	5.7 No identifier name should be reused
        Identifier B reused	B	729	10	5.7 No identifier name should be reused
        Identifier B reused	B	764	10	5.7 No identifier name should be reused
        Identifier B reused	B	802	10	5.7 No identifier name should be reused
        Identifier B reused	B	828	10	5.7 No identifier name should be reused
        Identifier B reused	B	863	10	5.7 No identifier name should be reused
        Identifier B reused	B	901	10	5.7 No identifier name should be reused
        Identifier B reused	B	912	26	5.7 No identifier name should be reused
        Identifier B reused	B	920	26	5.7 No identifier name should be reused
        Identifier B reused	B	935	14	5.7 No identifier name should be reused
        Identifier B reused	B	945	10	5.7 No identifier name should be reused
        Identifier B reused	B	955	10	5.7 No identifier name should be reused
        Identifier B reused	B	980	14	5.7 No identifier name should be reused
        Identifier B reused	B	1002	14	5.7 No identifier name should be reused
        Identifier B reused	B	1026	10	5.7 No identifier name should be reused
        Identifier B reused	B	1048	10	5.7 No identifier name should be reused
        Identifier B reused	B	1070	10	5.7 No identifier name should be reused
        Identifier B reused	B	1087	10	5.7 No identifier name should be reused
        Identifier B reused	B	1109	10	5.7 No identifier name should be reused
        Identifier B reused	B	1131	10	5.7 No identifier name should be reused
        Identifier B reused	B	1153	10	5.7 No identifier name should be reused
        Identifier B reused	B	1175	10	5.7 No identifier name should be reused
        Identifier B reused	B	1198	10	5.7 No identifier name should be reused
        Identifier B reused	B	1233	10	5.7 No identifier name should be reused
        Identifier B reused	B	1271	10	5.7 No identifier name should be reused
        Identifier B reused	B	1296	10	5.7 No identifier name should be reused
        Identifier B reused	B	1331	10	5.7 No identifier name should be reused
        Identifier B reused	B	1369	10	5.7 No identifier name should be reused
        Identifier B reused	B	1403	10	5.7 No identifier name should be reused
        Identifier B reused	B	1421	10	5.7 No identifier name should be reused
        Identifier B reused	B	1435	10	5.7 No identifier name should be reused
        Identifier B reused	B	1458	10	5.7 No identifier name should be reused
        Identifier B reused	B	1473	10	5.7 No identifier name should be reused
        Identifier B reused	B	1487	10	5.7 No identifier name should be reused
        Identifier B reused	B	1510	10	5.7 No identifier name should be reused
        Identifier B reused	B	1525	10	5.7 No identifier name should be reused
        Identifier B reused	B	1540	10	5.7 No identifier name should be reused
        Identifier B reused	B	1553	10	5.7 No identifier name should be reused
        Identifier B reused	B	1564	10	5.7 No identifier name should be reused
        Identifier B reused	B	1587	10	5.7 No identifier name should be reused
        Identifier B reused	B	1602	10	5.7 No identifier name should be reused
        Identifier B reused	B	1617	10	5.7 No identifier name should be reused
        Identifier B reused	B	1627	10	5.7 No identifier name should be reused
        Identifier B reused	B	1637	10	5.7 No identifier name should be reused
        Identifier B reused	B	1650	10	5.7 No identifier name should be reused
        Identifier B reused	B	1673	10	5.7 No identifier name should be reused
        Identifier B reused	B	1688	10	5.7 No identifier name should be reused
        Identifier B reused	B	1708	10	5.7 No identifier name should be reused
        Identifier B reused	B	1722	10	5.7 No identifier name should be reused
        Identifier B reused	B	1747	10	5.7 No identifier name should be reused
        Identifier B reused	B	1762	10	5.7 No identifier name should be reused
        Identifier B reused	B	1787	10	5.7 No identifier name should be reused
        Identifier B reused	B	1802	10	5.7 No identifier name should be reused
        Identifier B reused	B	1812	14	5.7 No identifier name should be reused
        Identifier B reused	B	1826	10	5.7 No identifier name should be reused
        Identifier B reused	B	1850	10	5.7 No identifier name should be reused
        Identifier B reused	B	1872	10	5.7 No identifier name should be reused
        Identifier B reused	B	1896	10	5.7 No identifier name should be reused
        Identifier B reused	B	1912	10	5.7 No identifier name should be reused
        Identifier B reused	B	1937	10	5.7 No identifier name should be reused
        Identifier B reused	B	1952	10	5.7 No identifier name should be reused
        Identifier B reused	B	1977	10	5.7 No identifier name should be reused
        Identifier B reused	B	1992	10	5.7 No identifier name should be reused
        Identifier B reused	B	2015	14	5.7 No identifier name should be reused
        Identifier B reused	B	2050	10	5.7 No identifier name should be reused
        Identifier B reused	B	2063	10	5.7 No identifier name should be reused
        Identifier B reused	B	2083	10	5.7 No identifier name should be reused
        Identifier B reused	B	2097	10	5.7 No identifier name should be reused
        Identifier B reused	B	2113	10	5.7 No identifier name should be reused
        Identifier B reused	B	2129	10	5.7 No identifier name should be reused
        Identifier B reused	B	2138	10	5.7 No identifier name should be reused
        Identifier B reused	B	2162	10	5.7 No identifier name should be reused
        Identifier B reused	B	2171	10	5.7 No identifier name should be reused
        Identifier B reused	B	2192	10	5.7 No identifier name should be reused
        Identifier B reused	B	2209	10	5.7 No identifier name should be reused
        Identifier B reused	B	2222	10	5.7 No identifier name should be reused
        Identifier B reused	B	2229	10	5.7 No identifier name should be reused
        Identifier B reused	B	2250	10	5.7 No identifier name should be reused
        Identifier B reused	B	2265	10	5.7 No identifier name should be reused
        Identifier B reused	B	2298	10	5.7 No identifier name should be reused
        Identifier B reused	B	2329	10	5.7 No identifier name should be reused
        Identifier B reused	B	2362	10	5.7 No identifier name should be reused
        Identifier B reused	B	2393	10	5.7 No identifier name should be reused
        Identifier B reused	B	2424	10	5.7 No identifier name should be reused
        Identifier B reused	B	2445	10	5.7 No identifier name should be reused
        Identifier B reused	B	2455	10	5.7 No identifier name should be reused
        Identifier B reused	B	2465	10	5.7 No identifier name should be reused
        Identifier B reused	B	2475	10	5.7 No identifier name should be reused
        Identifier B reused	B	2484	10	5.7 No identifier name should be reused
        Identifier B reused	B	2493	10	5.7 No identifier name should be reused
        Identifier B reused	B	2503	10	5.7 No identifier name should be reused
        Identifier B reused	B	2513	10	5.7 No identifier name should be reused
        Identifier B reused	B	2523	10	5.7 No identifier name should be reused
        Identifier B reused	B	2544	10	5.7 No identifier name should be reused
        Identifier B reused	B	2555	10	5.7 No identifier name should be reused
        Identifier B reused	B	2566	10	5.7 No identifier name should be reused
        Identifier B reused	B	2574	10	5.7 No identifier name should be reused
        Identifier B reused	B	2583	10	5.7 No identifier name should be reused
        Identifier B reused	B	2590	10	5.7 No identifier name should be reused
        Identifier B reused	B	2604	10	5.7 No identifier name should be reused
        Identifier B reused	B	2612	10	5.7 No identifier name should be reused
        Identifier B reused	B	2619	10	5.7 No identifier name should be reused
        Identifier B reused	B	2637	10	5.7 No identifier name should be reused
        Identifier B reused	B	2676	10	5.7 No identifier name should be reused
        Identifier B reused	B	2684	10	5.7 No identifier name should be reused
        Identifier B reused	B	2691	10	5.7 No identifier name should be reused
        Identifier B reused	B	2698	10	5.7 No identifier name should be reused
        Identifier B reused	B	2706	10	5.7 No identifier name should be reused
        Identifier B reused	B	2713	10	5.7 No identifier name should be reused
        Identifier B reused	B	2728	10	5.7 No identifier name should be reused
        Identifier B reused	B	2744	10	5.7 No identifier name should be reused
        Identifier B reused	B	2754	10	5.7 No identifier name should be reused
        Identifier B reused	B	2762	10	5.7 No identifier name should be reused
        Identifier B reused	B	2770	10	5.7 No identifier name should be reused
        Identifier B reused	B	2780	10	5.7 No identifier name should be reused
        Identifier B reused	B	2788	10	5.7 No identifier name should be reused
        Identifier B reused	B	2796	10	5.7 No identifier name should be reused
        Identifier B reused	B	2804	10	5.7 No identifier name should be reused
        Identifier B reused	B	2832	10	5.7 No identifier name should be reused
        Identifier B reused	B	2854	10	5.7 No identifier name should be reused
